Date,Open,High,Low,Close,Adj Close,Volume
1992-01-02,3152,3173,3139,3172,3172,23550000
1992-01-03,3172,3211,3166,3202,3202,23620000
1992-01-06,3202,3213,3192,3200,3200,27280000
1992-01-07,3200,3210,3184,3205,3205,25510000
1992-01-08,3205,3229,3186,3204,3204,29040000
1992-01-09,3204,3228,3193,3210,3210,29820000
1992-01-10,3210,3217,3185,3200,3200,23440000
1992-01-13,3200,3201,3179,3186,3186,19300000
1992-01-14,3186,3249,3183,3246,3246,24220000
1992-01-15,3246,3263,3232,3259,3259,29560000
1992-01-16,3259,3263,3222,3250,3250,38100000
1992-01-17,3250,3280,3243,3265,3265,39780000
1992-01-20,3265,3270,3245,3254,3254,18190000
1992-01-21,3254,3254,3215,3223,3223,24160000
1992-01-22,3223,3256,3217,3256,3256,21590000
1992-01-23,3256,3267,3223,3227,3227,22140000
1992-01-24,3227,3248,3217,3233,3233,22600000
1992-01-27,3233,3247,3231,3241,3241,19110000
1992-01-28,3241,3275,3240,3272,3272,24960000
1992-01-29,3272,3299,3218,3225,3225,32500000
1992-01-30,3225,3247,3216,3245,3245,22080000
1992-01-31,3245,3255,3223,3223,3223,20610000
1992-02-03,3223,3239,3214,3234,3234,18860000
1992-02-04,3234,3273,3229,3273,3273,23970000
1992-02-05,3273,3282,3252,3258,3258,27360000
1992-02-06,3258,3266,3239,3256,3256,20490000
1992-02-07,3256,3270,3208,3225,3225,21660000
1992-02-10,3225,3248,3224,3245,3245,16100000
1992-02-11,3245,3260,3236,3252,3252,23400000
1992-02-12,3252,3286,3245,3277,3277,21580000
1992-02-13,3277,3284,3236,3247,3247,22200000
1992-02-14,3247,3255,3222,3246,3246,21260000
1992-02-18,3246,3269,3219,3225,3225,21970000
1992-02-19,3225,3242,3215,3230,3230,22930000
1992-02-20,3231,3284,3231,3281,3281,25840000
1992-02-21,3281,3287,3253,3280,3280,26840000
1992-02-24,3280,3290,3266,3282,3282,17880000
1992-02-25,3282,3282,3240,3258,3258,20980000
1992-02-26,3258,3291,3254,3283,3283,21160000
1992-02-27,3283,3287,3266,3270,3270,18710000
1992-02-28,3270,3293,3259,3268,3268,17960000
